id,sku_name,sku_code,retail_price,wholesale_price,Quantity Left
1,ABC Golden Lag 300ml RET 24*1,ABC,85,80.11,0
2,Alvaro Passion 330ml PET 12*1,ALV P,62,56.3,0
3,Alvaro Pear 330ml PET 12*1,ALV P,61,56.3,0
4,Alvaro Pineapple PET 12*1,ALV P,61,56.3,0
5,Guinness FES 330ml RET 24*1,FES,136,128,1085
6,Guinness Malt 330ml RET 24*1,MG,93,88,144
7,Mlt Choco 330ml RET 24*1,MG CHO,93,88,0
8,Gulder Lager 625ml RET 12*1,GUL,87,81.5,1825
9,Guinness Malt 330ml PET 12*1,PET MG,61,56.3,28
10,Heineken Lager Keg 30cl,H/L KEG,665,665,0
11,Heineken Lager 330ml (06*4),H/L,347,323,0
12,Heineken Lager 330ml (24*1),H/L,342,323,0
13,Heineken Can 330ml(06*04),C/H,332,309,0
14,Heineken Can 330ml(24*1),C/H,332,309,0
15,Orijin 330ml RET 24*1,O/M,107,100,0
16,Orijin 625ml RET 12*1,O/L,86,80,6194
17,Star lager 330ml RET 24*1,S/M,95,89.4,0
18,Star lager625ml RET 12*1,S/L,86,81,151
19,Star Lager KEG 30cl,ST/L KEG,325,325,0
20,Malta Guinness 330ml 24*1 Can,MG CAN,147,136,9
21,Malta Guinness 330ml 12*1 Can,MG CAN,74.5,69,0
22,FES 330ml 24*1 Can,FES CAN,147,135,0
23,FES 330ml 12*1 Can,FES CAN,75,69.5,0
24,FES 330ml 06*1 Can,FES CAN,39,36,0
25,Orijin RTD 330ml 24*1 Can,OJ CAN,120,110,0
26,Smir Ice 330ml NRB 24*1 CTN,ICE,229,212,614
27,Smir Ice Pine 330ml RET 24*1 CTN,ICE,229,212,942
28,Baileys Orig 1L 12X01,BAILEYS,212.5,196.33,314
29,Baileys Orig 20cl 24X01,BAILEYS,57.92,53.42,0
30,Baileys Orig 75cl 12X01,BAILEYS,176.08,162.5,11
31,Baileys Delight 75cl 12X01,DELIGHT,52.25,47.83,0
32,Black & White 75cl 12x1,B & W,103,93.5,643
33,Black & White 20cl 08 x 06,B & W,34.14,31.25,1751
34,CptMrg Jam Rum 1L 12X01,CPT. RUM,176.67,163.17,130
35,CptMrg Spc Gld 1L 12X01,CPT. GLD,176.67,163.17,0
36,Gordons Dry Gin 1L 12X01,GORDONS,160.42,148.5,66
37,Gordons Dry Gin 20cl 08X06,GORDONS,42.71,39.63,0
38,Smir Black 1L 12X01,SMIR BLCK,130,119.92,0
39,Smir Blue 1L 12X01,SMIR BLU,164.67,151.92,0
40,Smir Citrus 1L 12X01,SMIR CIT,130,119.92,0
41,Smir Gr Apple 1L 12X01,SMIR APP,147.33,136,0
42,Smir Orange 1L 12X01,SMIR ORG,130,119.92,0
43,Smir Raspberry 1L 12X01,SMIR RPB,130,119.92,0
44,Smir Red 1L 12X01,SMIR RED,160.42,148.5,204
45,Smir Red 20cl 08X06,SMIR RED,42.71,39.63,1018
46,J+B Rare 1L 12X01,J & B,143.75,132.92,0
47,J+B Rare 75cl 12X01,J & B,44.17,40.58,0
48,J+B Rare 20cl 48X01,J & B,44.98,41.56,626
49,Vat 69 1L 12X01,VAT 69,101.42,93.5,0
50,White Horse Fo 1L 12X01,W/HRSE,131.92,121.5,0
51,MrDowlls Whisky 18cl 48X01,MR DWEL,10.98,9.77,0
52,Mr. Dowells Whisky 75cl 12X01,MR DWEL,42.75,38.33,0
53,Orijin Bitters 20cl 48X01,OJ B,9.44,8.87,18144
54,Orijin Bitters 75cl 12X01,OJ B,22.08,20.67,5942
55,Gordons Pink 75cl 12X01,PINK BERRY,76.5,69,37
56,Gordons Pink 20cl 48X01,PINK BERRY,21.67,19.81,874
57,Smirnoff chocolate 75cl 12X01,SMIR CHOC,70,63.33,0
58,Smirnoff chocolate 20cl 48X01,SMIR CHOC,18.25,16.77,0
59,JW Black 1L 12Y 12X01,BLCK LABEL,333.83,308,496
60,JW Black 20cl 12Y 24X01,BLCK LABEL,72.92,66.88,2224
61,JW Black 75cl 12Y 12X01,BLCK LABEL,283.48,261.6,2
62,JW Blue 75cl 06X01,BLUE LABEL,2055.83,1891.67,85
63,JW Gold Rsv 75cl 06X01,GOLD LABEL,500.83,462,97
64,JW Red 1L 12X01,RED LABEL,184,169.75,186
65,JW Red 20cl 24X01,RED LABEL,50.42,46.29,913
66,JW Red 75cl 12X01,RED LABEL,158.33,146.25,34
67,JW Dbl Blck 75cl 06X01,DBLE BLACK,370,341.5,67
68,JW Red 1L 12X01 icons,RED LABEL ICON,184,169.75,0
69,JW Black 1L 12Y 12X01 icons,BLACK LABEL ICON,333.38,308,0
70,JW Gold Rsv 75cl 12X01 icons,GOLD LABEL ICON,500.83,462,24
71,JW Blue 75cl 04X01 Icons,BLUE LABEL ICON,2055.1,1890.19,0
72,JW Blue 75cl 04X01 PRES 1,BLUE LABEL PRESS,2057.5,1895,0
73,JW Black label 1.1lt,BLACK LABEL 1.1,302.67,281,0
74,JW Black Highland 1lt,BLACK HILAND,266.67,245.54,0
75,JW Black Islay 1lt,BLACK LABEL ISLAY,266.67,245.54,0
76,JW Dbl Blck 85cl 06X01,DBLE BLACK 85CL,212.67,195.9,0
77,JW Gold Rsv 75cl 04X01 F21,GOLD LABEL RSV,293.25,269.81,0
78,JW Aged 18 Yrs 75cl 18Y 06X01,AGE 18,805.83,742.33,23
79,JW Black75cl + Miniature 5cl Double,BLACK LABEL MIA,280,258.33,0
80,JW Black 1L 12Y 06X01 F22Glass,BLACK LABEL GLASS,328.67,305.17,0
81,JW Blue 75cl 03X01 F21 VAP,JW BLU,1466.67,1349.06,0
82,Tanq Lndn Gin 75cl 12X01,TANQ L,193.33,178.33,15
83,Tanq Ten 70cl 06X01,TANQ T,281.67,259,1
84,Ciroc 1L 12X01,CIROC,429.33,395.42,68
85,Ciroc Pineapple 1L 06X01,CIROC,447.5,411.67,4
86,Don Julio Anejo 75cl 06X01,DON JU,833.33,769.17,60
87,Don Julio Blnco 75cl 06X01,DON JU,669.17,618,0
88,Ketel One Vodka 75cl 12X01,KETEL ONE,224.17,206.17,118
89,Lagavulin 70cl 16Y 06X01,LAGAVU,713.33,656.67,0
90,Cardhu 70cl 12Y 06X01,CARDHU,330,303.5,0
91,Talisker 70cl 10Y 06X01,TALISK,350,322.17,0
92,Dtown - Sngltn 70cl 15Y 06X01,DTOWN,570.67,525,18
93,Dtown - Sngltn 75cl 12Y 12X01,DTOWN,462.5,428.33,74
94,Zacapa Cent 23 75cl 06X01,ZACAPA,665.83,613.33,45
95,Zacapa Cent XO 70cl 06X01,ZACAPA,1492.33,1375,10
